Meter,Date,KWH,USD,Event_Type,Event_Note
497540,3/01/2024,99225,8402.73,Normal,
497540,4/01/2024,112542,9283.68,Normal,
497540,5/01/2024,155369,13243.8,Normal,
497540,6/01/2024,157626,13643.0,Normal,
497540,7/01/2024,152040,12821.44,Normal,
497540,8/01/2024,139134,11725.52,Normal,
497540,9/01/2024,121181,10259.53,Normal,
497540,10/01/2024,110273,9438.27,Normal,
497540,11/01/2024,101015,8558.72,Normal,
497540,12/01/2024,801560,6711.34,Normal,
497540,1/01/2025,63011,5432.64,Normal,
497540,2/01/2025,68010,5852.09,Normal,
497540,3/01/2025,97553,8442.71,Normal,
497540,4/01/2025,81586,7012.77,Normal,
497540,5/01/2025,144207,12112.37,Normal,
497540,6/01/2025,142026,12079.3,Normal,
497540,7/01/2025,139294,11944.41,Normal,
497540,8/01/2025,142602,12257.78,Normal,
497540,9/01/2025,131582,10883.45,Normal,
497540,10/01/2025,139025,11851.41,Normal,
497540,11/01/2025,106212,9131.03,Normal,
497540,12/01/2025,99169,8203.34,Normal,
527023,10/01/2023,85448,14012.45,Normal,
527023,11/01/2023,63101,9995.22,Normal,
527023,12/01/2023,58672,9622.64,Normal,
527023,1/01/2024,64845,10294.74,Normal,
527023,2/01/2024,61807,10063.86,Normal,
527023,3/01/2024,676270,11086.82,Normal,
527023,4/01/2024,74046,11922.6,Normal,
527023,5/01/2024,96722,15890.46,Normal,
527023,6/01/2024,99837,16533.05,Normal,
527023,7/01/2024,100362,16179.82,Normal,
527023,8/01/2024,96172,15243.22,Normal,
527023,9/01/2024,83925,13473.09,Normal,
527023,10/01/2024,83890,1349594.0,Normal,
527023,11/01/2024,65693,10456.27,Normal,
527023,12/01/2024,58359,9644.7,Normal,
527023,1/01/2025,59257,9296.3,Normal,
527023,2/01/2025,58663,9430.67,Normal,
527023,3/01/2025,80479,12620.1,Normal,
527023,4/01/2025,79857,13226.48,Normal,
527023,5/01/2025,90777,14745.69,Normal,
527023,6/01/2025,110072,17441.55,Normal,
527023,7/01/2025,94567,14947.11,Normal,
527023,8/01/2025,107480,17346.29,Normal,
527023,9/01/2025,0,0.0,Normal,
527023,10/01/2025,80302,13073.88,Normal,
527023,11/01/2025,69599,11162.76,Normal,
527023,12/01/2025,57514,9145.42,Normal,
662248,10/01/2023,83061,12860.43,Normal,
662248,11/01/2023,71542,11638.62,Normal,
662248,12/01/2023,59939,9775.66,Normal,
662248,1/01/2024,0,0.0,Normal,
662248,2/01/2024,61351,9543.38,Normal,
662248,3/01/2024,72652,11758.49,Normal,
662248,4/01/2024,78360,12219.46,Normal,
662248,5/01/2024,95156,15156.53,Normal,
662248,6/01/2024,111175,17833.02,Normal,
662248,7/01/2024,103061,16831.21,Normal,
662248,8/01/2024,109262,17305.82,Normal,
662248,9/01/2024,112791,18324.52,Normal,
662248,10/01/2024,0,0.0,Normal,
662248,11/01/2024,67884,10628.31,Normal,
662248,12/01/2024,52578,8516.57,Normal,
662248,1/01/2025,54806,8809.23,Normal,
662248,2/01/2025,52525,8424.76,Normal,
662248,3/01/2025,57418,9217.93,Normal,
662248,4/01/2025,90207,14232.46,Normal,
662248,5/01/2025,97477,15262.37,Normal,
662248,6/01/2025,111983,17920.78,Normal,
662248,7/01/2025,112461,17446.29,Normal,
662248,8/01/2025,122314,19506.72,Normal,
662248,9/01/2025,92200,14503.83,Normal,
662248,10/01/2025,92111,14583.97,Normal,
662248,11/01/2025,83523,13061.07,Normal,
662248,12/01/2025,75185,11700.58,Normal,
689633,10/01/2023,106681,10394.12,Normal,
689633,11/01/2023,99084,9583.85,Normal,
689633,12/01/2023,79326,7904.91,Normal,
689633,1/01/2024,81988,8196.0,Normal,
689633,2/01/2024,77103,7473.22,Normal,
689633,3/01/2024,94857,9336.2,Normal,
689633,4/01/2024,112976,10988.52,Normal,
689633,5/01/2024,121924,11916.27,Normal,
689633,6/01/2024,122702,12363.15,Normal,
689633,7/01/2024,255733,25071.19,Operational Spike,Training Event
689633,8/01/2024,128610,12320.47,Normal,
689633,9/01/2024,113503,10964.24,Normal,
689633,10/01/2024,107817,10256.54,Normal,
689633,11/01/2024,103697,10442.25,Normal,
689633,12/01/2024,74009,7312.98,Normal,
689633,1/01/2025,76046,7387.98,Normal,
689633,2/01/2025,80633,7998.72,Normal,
689633,3/01/2025,81502,8058.15,Normal,
689633,4/01/2025,108133,10606.43,Normal,
689633,5/01/2025,0,0.0,Normal,
689633,6/01/2025,144486,14248.76,Normal,
689633,7/01/2025,134076,12757.98,Normal,
689633,8/01/2025,0,0.0,Normal,
689633,9/01/2025,123989,11898.26,Normal,
689633,10/01/2025,120671,11533.28,Normal,
689633,11/01/2025,91303,9105.44,Normal,
689633,12/01/2025,80124,7787.64,Normal,
906309,10/01/2023,110985,12329.83,Normal,
906309,11/01/2023,101876,10915.65,Normal,
906309,12/01/2023,99614,10547.19,Normal,
906309,1/01/2024,81076,8929.44,Normal,
906309,2/01/2024,99536,10633.84,Normal,
906309,3/01/2024,115941,12837.69,Normal,
906309,4/01/2024,123699,13715.17,Normal,
906309,5/01/2024,151065,16450.09,Normal,
906309,6/01/2024,152314,16763.58,Normal,
906309,7/01/2024,152040,16594.06,Normal,
906309,8/01/2024,151723,16154.65,Normal,
906309,9/01/2024,139964,15472.75,Normal,
906309,10/01/2024,136955,14407.74,Normal,
906309,11/01/2024,113609,12424.9,Normal,
906309,12/01/2024,100366,11149.43,Normal,
906309,1/01/2025,91421,9959.24,Normal,
906309,2/01/2025,98759,10794.01,Normal,
906309,3/01/2025,114343,12371.45,Normal,
906309,4/01/2025,136345,14713.94,Normal,
906309,5/01/2025,143117,15480.12,Normal,
906309,6/01/2025,145958,15452.36,Normal,
906309,7/01/2025,172744,18884.54,Normal,
906309,8/01/2025,148583,16151.95,Normal,
906309,9/01/2025,130207,14391.0,Normal,
906309,10/01/2025,126951,14095.65,Normal,
906309,11/01/2025,109942,12249.08,Normal,
906309,12/01/2025,84812,9454.35,Normal,
979234,10/01/2023,133333,29731.46,Normal,
979234,11/01/2023,128020,28461.42,Normal,
979234,12/01/2023,113549,24898.87,Normal,
979234,1/01/2024,79715,17146.69,Normal,
979234,2/01/2024,95261,20411.51,Normal,
979234,3/01/2024,97256,20955.39,Normal,
979234,4/01/2024,130082,28587.83,Normal,
979234,5/01/2024,156553,33693.45,Normal,
979234,6/01/2024,163283,34906.16,Normal,
979234,7/01/2024,170133,37647.98,Normal,
979234,8/01/2024,163219,35190.46,Normal,
979234,9/01/2024,161176,34558.08,Normal,
979234,10/01/2024,125938,27628.92,Normal,
979234,11/01/2024,105668,23332.35,Normal,
979234,12/01/2024,92127,20606.06,Normal,
979234,1/01/2025,95640,20448.47,Normal,
979234,2/01/2025,113900,25451.13,Normal,
979234,3/01/2025,128598,28216.03,Normal,
979234,4/01/2025,136592,30160.61,Normal,
979234,5/01/2025,177208,37606.89,Normal,
979234,6/01/2025,142953,30825.77,Normal,
979234,7/01/2025,169643,37545.22,Normal,
979234,8/01/2025,178496,38658.67,Normal,
979234,9/01/2025,144151,31979.0,Normal,
979234,10/01/2025,130248,28253.94,Normal,
979234,11/01/2025,102566,21978.15,Normal,
979234,12/01/2025,87285,18638.19,Normal,
